,station_elevation_m,elevation_diff_nearest_subway_m,elevation_diff_nearest_bus_stop_m,nearest_park_distance_m,nearest_park_area_sqm,elevation_diff_nearest_park_m,distance_naturepark_m,inside_naturepark,distance_river_boundary_m,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,morning_net_inflow,evening_net_inflow
station_elevation_m,1.0,0.496,0.213,-0.03,-0.006,0.387,0.113,0.087,0.572,-0.073,0.091,-0.064,-0.232,-0.223
elevation_diff_nearest_subway_m,0.496,1.0,0.202,0.137,0.033,0.155,-0.245,0.027,0.207,-0.015,0.257,-0.081,-0.001,-0.151
elevation_diff_nearest_bus_stop_m,0.213,0.202,1.0,-0.07,0.023,0.002,-0.003,0.107,-0.04,-0.008,0.011,-0.034,-0.07,0.02
nearest_park_distance_m,-0.03,0.137,-0.07,1.0,0.315,-0.175,-0.266,0.128,0.083,-0.114,-0.026,0.1,-0.083,0.153
nearest_park_area_sqm,-0.006,0.033,0.023,0.315,1.0,-0.416,-0.386,0.212,-0.299,-0.154,-0.104,0.132,-0.178,0.105
elevation_diff_nearest_park_m,0.387,0.155,0.002,-0.175,-0.416,1.0,0.456,-0.04,0.28,-0.038,0.076,-0.054,-0.062,-0.032
distance_naturepark_m,0.113,-0.245,-0.003,-0.266,-0.386,0.456,1.0,-0.104,0.231,0.001,0.126,-0.079,0.036,-0.094
inside_naturepark,0.087,0.027,0.107,0.128,0.212,-0.04,-0.104,1.0,-0.058,-0.014,0.046,-0.047,0.003,-0.002
distance_river_boundary_m,0.572,0.207,-0.04,0.083,-0.299,0.28,0.231,-0.058,1.0,0.058,0.329,-0.191,0.006,-0.199
arrival_7_10_ratio,-0.073,-0.015,-0.008,-0.114,-0.154,-0.038,0.001,-0.014,0.058,1.0,0.133,-0.805,0.711,-0.647
arrival_11_14_ratio,0.091,0.257,0.011,-0.026,-0.104,0.076,0.126,0.046,0.329,0.133,1.0,-0.378,0.203,-0.171
arrival_17_20_ratio,-0.064,-0.081,-0.034,0.1,0.132,-0.054,-0.079,-0.047,-0.191,-0.805,-0.378,1.0,-0.66,0.633
morning_net_inflow,-0.232,-0.001,-0.07,-0.083,-0.178,-0.062,0.036,0.003,0.006,0.711,0.203,-0.66,1.0,-0.687
evening_net_inflow,-0.223,-0.151,0.02,0.153,0.105,-0.032,-0.094,-0.002,-0.199,-0.647,-0.171,0.633,-0.687,1.0
