station_id,mapped_dong_code,mapped_dong_name,station_name,주소,latitude,longitude,total_return_count,return_7_10_count,return_11_14_count,return_17_20_count,dominant_ratio,district_hypothesis,life_pop_7_10_mean,life_pop_11_14_mean,life_pop_17_20_mean,arrival_7_10_ratio,arrival_11_14_ratio,arrival_17_20_ratio,morning_net_inflow,evening_net_inflow,subway_distance_m,bus_stop_count_300m,cluster,대여소명,주소_env,station_lat,station_lon,station_elevation_m,nearest_subway_name,nearest_subway_distance_m,subway_elevation_m,elevation_diff_nearest_subway_m,nearest_bus_stop_name,nearest_bus_stop_distance_m,bus_elevation_m,elevation_diff_nearest_bus_stop_m,nearest_park_name,nearest_park_distance_m,nearest_park_area_sqm,park_elevation_m,elevation_diff_nearest_park_m,distance_naturepark_m,inside_naturepark,distance_river_boundary_m
2301,11680510,신사동, 현대고등학교 건너편,서울특별시 강남구 압구정로 134,37.52407074,127.02178955,20904,1557,2642,7844,0.3752391886720245,주거지구 후보,34711.2626499658,47294.58111371408,44266.38985273598,0.074483352468427,0.126387294297742,0.3752391886720245,7.0,1754.0,676.3932200344976,20,2, 현대고등학교 건너편,서울특별시 강남구 압구정로 134,37.52407074,127.02178955,15.0,압구정,676.3932200344976,29.0,-14.0,신사중학교,31.690509908237257,16.0,-1.0,도산근린공원,1169.5472992568225,29816.5,30.0,-15.0,1943.599,0,510.63
2302,11680521,논현1동, 교보타워 버스정류장(신논현역 3번출구 후면),서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673,15397,2021,2543,5845,0.3796194063778658,주거지구 후보,43807.05390064979,51912.863196648424,45663.3832001026,0.1312593362343313,0.1651620445541339,0.3796194063778658,-125.0,1922.0,129.30158007069147,40,2, 교보타워 버스정류장(신논현역 3번출구 후면),서울특별시 강남구 봉은사로 지하 102,37.5055809,127.02427673,20.0,신논현,129.30158007069147,27.0,-7.0,교보타워,24.71282136601628,23.0,-3.0,도산근린공원,2325.377527410613,29816.5,30.0,-10.0,1607.119,0,1991.707
2303,11680521,논현1동, 논현역 10번출구,서울특별시 강남구 학동로 지하 102,37.51137161,127.02146149,16447,1931,2601,5912,0.3594576518514015,주거지구 후보,43807.05390064979,51912.863196648424,45663.3832001026,0.1174074299264303,0.1581443424332705,0.3594576518514015,-2241.0,910.0,31.250221522971053,40,2, 논현역 10번출구,서울특별시 강남구 학동로 지하 102,37.51137161,127.02146149,32.0,논현,31.250221522971053,32.0,0.0,영동시장.논현역1번출구,87.59318743939798,31.0,1.0,도산근린공원,1902.7002973063863,29816.5,30.0,2.0,1768.31,0,1445.254
2304,11680531,논현2동, 대현그린타워,서울특별시 강남구 언주로 626,37.5116272,127.03565216,2526,407,461,807,0.3194774346793349,주거지구 후보,48771.59621426129,62230.2112386115,48357.27645215458,0.1611243072050673,0.1825019794140934,0.3194774346793349,-751.0,-1352.0,455.99558563352826,12,3, 대현그린타워,서울특별시 강남구 언주로 626,37.5116272,127.03565216,65.0,학동,455.99558563352826,41.0,24.0,논현아이파크,58.75082200835278,70.0,-5.0,도산근린공원,1451.9099832858928,29816.5,30.0,35.0,2319.819,0,2262.668
2305,11680531,논현2동, MCM 본사 직영점 앞,서울특별시 강남구 언주로 734,37.52064133,127.03450775,5223,2204,1069,890,0.4219797051502967,업무/상업지구 후보,48771.59621426129,62230.2112386115,48357.27645215458,0.4219797051502967,0.2046716446486693,0.170400153168677,1661.0,-1498.0,683.8902474091004,16,0, MCM 본사 직영점 앞,서울특별시 강남구 언주로 734,37.52064133,127.03450775,21.0,강남구청,683.8902474091004,59.0,-38.0,제일은행.호림아트센터앞,110.9219644070067,26.0,-5.0,도산근린공원,450.9006871740943,29816.5,30.0,-9.0,2960.419,0,1348.501
2306,11680545,압구정동, 압구정역 2번 출구 옆,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704,30355,3086,5632,12826,0.4225333552956679,주거지구 후보,40653.44209463064,53924.654357660744,48026.726367510266,0.1016636468456596,0.1855378026684236,0.4225333552956679,-3991.0,3268.0,23.266637636051197,24,2, 압구정역 2번 출구 옆,서울특별시 강남구 압구정로 지하 172,37.5271225,127.02871704,29.0,압구정,23.266637636051197,29.0,0.0,압구정역3번출구,124.65313689192422,27.0,2.0,도산근린공원,619.6346411922685,29816.5,30.0,-1.0,2100.553,0,716.279
2307,11680545,압구정동, 압구정 한양 3차 아파트,서울특별시 강남구 압구정로 321,37.52838135,127.03901672,6354,589,1229,2140,0.3367957192319799,주거지구 후보,40653.44209463064,53924.654357660744,48026.726367510266,0.0926975133774,0.1934214667925716,0.3367957192319799,-501.0,-139.0,173.99806305580933,20,3, 압구정 한양 3차 아파트,서울특별시 강남구 압구정로 321,37.52838135,127.03901672,21.0,압구정로데오,173.99806305580933,25.0,-4.0,압구정로데오,19.20999073763878,21.0,0.0,도산근린공원,541.7172119919788,29816.5,30.0,-9.0,2798.271,0,413.129
2308,11680545,압구정동, 압구정파출소 앞,서울특별시 강남구 압구정로 311,37.52930069,127.03559875,16430,1507,3429,5488,0.3340231284236153,주거지구 후보,40653.44209463064,53924.654357660744,48026.726367510266,0.0917224589166159,0.2087035909920876,0.3340231284236153,-1320.0,689.0,484.7372548025296,20,3, 압구정파출소 앞,서울특별시 강남구 압구정로 311,37.52930069,127.03559875,21.0,압구정로데오,484.7372548025296,25.0,-4.0,압구정파출소,63.342915304655854,21.0,0.0,도산근린공원,516.7741125358261,29816.5,30.0,-9.0,2482.054,0,406.66
2309,11680565,청담동, 청담역(우리들병원 앞),서울특별시 강남구 학동로 443,37.51890182,127.04938507,3851,397,713,1215,0.3155024668917164,주거지구 후보,44485.18132588919,53001.089906737354,42721.22389463064,0.103090106465853,0.1851467151389249,0.3155024668917164,-2290.0,-617.0,353.45653787576214,32,3, 청담역(우리들병원 앞),서울특별시 강남구 학동로 443,37.51890182,127.04938507,39.0,청담,353.45653787576214,42.0,-3.0,SM엔터테인먼트,128.9069675498341,37.0,2.0,청담근린공원,381.9201251213382,59347.0,68.0,-29.0,2996.729,0,997.538
2310,11680565,청담동, 청담동 맥도날드 옆(위치),서울특별시 강남구 학동로 지하 508,37.52361298,127.04017639,7677,1128,1410,1759,0.2291259606617168,주거지구 후보,44485.18132588919,53001.089906737354,42721.22389463064,0.1469323954669792,0.1836654943337241,0.2291259606617168,613.0,-454.0,420.1698862481745,28,3, 청담동 맥도날드 옆(위치),서울특별시 강남구 학동로 지하 508,37.52361298,127.04017639,27.0,압구정로데오,420.1698862481745,25.0,2.0,일지아트홀.압구정노인복지관,91.6138829666312,24.0,3.0,도산근린공원,469.0032541130004,29816.5,30.0,-3.0,3149.621,0,880.778
2311,11680565,청담동, 학동로 래미안 아파트 앞,서울특별시 강남구 학동로 지하 508,37.51777267,127.04302216,2767,435,482,810,0.2927358149620527,주거지구 후보,44485.18132588919,53001.089906737354,42721.22389463064,0.1572099747018431,0.1741958800144561,0.2927358149620527,-801.0,-728.0,168.44798043937465,36,3, 학동로 래미안 아파트 앞,서울특별시 강남구 학동로 지하 508,37.51777267,127.04302216,59.0,강남구청,168.44798043937465,59.0,0.0,청담동래미안아파트,16.256951174321184,59.0,0.0,청담근린공원,920.8140351415318,59347.0,68.0,-9.0,2879.813,0,1407.314
